course_code,code,course_title,semester,year_level,program,department,employee_id,assigned_poc,email
ACT101,101,Fundamentals of Computer Technology,First Semester,1st Year,Associate in Computer Technology,School of Computer and Information Sciences,2001,Alice Carter,alicecarter@unc.edu.ph
BLIS201,201,Information Organization,Second Semester,2nd Year,Bachelor of Library and Information Science,School of Computer and Information Sciences,2002,Bob Williams,bobwilliams@unc.edu.ph
CS202,202,Data Structures and Algorithms,First Semester,2nd Year,Bachelor of Science in Computer Science,School of Computer and Information Sciences,2003,Carol Martinez,carolmartinez@unc.edu.ph
IT301,301,Network Administration,Second Semester,3rd Year,Bachelor of Science in Information Technology,School of Computer and Information Sciences,2004,David Johnson,davidjohnson@unc.edu.ph
CS101,101,Introduction to Programming,First Semester,1st Year,Bachelor of Science in Computer Science,School of Computer and Information Sciences,2005,Eve Brown,evebrown@unc.edu.ph
ACT102,102,Introduction to Networking,Second Semester,1st Year,Associate in Computer Technology,School of Computer and Information Sciences,2006,Frank White,frankwhite@unc.edu.ph
BLIS301,301,Cataloging and Classification,First Semester,3rd Year,Bachelor of Library and Information Science,School of Computer and Information Sciences,2007,Frank White,frankwhite@unc.edu.ph
CS305,305,Web Development,First Semester,3rd Year,Bachelor of Science in Computer Science,School of Computer and Information Sciences,2008,Frank White,frankwhite@unc.edu.ph
IT202,202,Database Management Systems,Second Semester,2nd Year,Bachelor of Science in Information Technology,School of Computer and Information Sciences,2009,Frank White,frankwhite@unc.edu.ph
CS103,103,Object-Oriented Programming,Second Semester,1st Year,Bachelor of Science in Computer Science,School of Computer and Information Sciences,2004,David Johnson,davidjohnson@unc.edu.ph
ACT105,105,Mobile App Development,First Semester,2nd Year,Associate in Computer Technology,School of Computer and Information Sciences,2005,Eve Brown,evebrown@unc.edu.ph
BLIS401,401,Information Ethics and Law,First Semester,4th Year,Bachelor of Library and Information Science,School of Computer and Information Sciences,2002,Bob Williams,bobwilliams@unc.edu.ph
IT305,305,Cloud Computing,First Semester,3rd Year,Bachelor of Science in Information Technology,School of Computer and Information Sciences,2003,Carol Martinez,carolmartinez@unc.edu.ph
CS201,201,Software Engineering,First Semester,2nd Year,Bachelor of Science in Computer Science,School of Computer and Information Sciences,2001,Alice Carter,alicecarter@unc.edu.ph
